word,category
climate_change,Climate_Change
scope_3,Climate_Change
carbon_footprint,Climate_Change
global_warming,Climate_Change
co2_emission,Climate_Change
greenhouse_gas,Climate_Change
scope_1,Climate_Change
ghg_emission,Climate_Change
[NER:PRODUCT]_emission,Climate_Change
emission,Climate_Change
greenhouse_gas_emission,Climate_Change
carbon_dioxide_emission,Climate_Change
carbon_emission,Climate_Change
sulfur_dioxide,Climate_Change
[NER:PRODUCT]_[NER:PRODUCT]_emission,Climate_Change
environmental_footprint,Climate_Change
gas_emission,Climate_Change
nitrogen_oxide,Climate_Change
pollutant,Climate_Change
environmental_impact,Climate_Change
greenhouse_emission,Climate_Change
carbon,Climate_Change
carbon_intensity,Climate_Change
particulate_matter,Climate_Change
global_emission,Climate_Change
anthropogenic_climate_change,Climate_Change
total_ghg_emissions,Climate_Change
climate_crisis,Climate_Change
carbon_dioxide,Climate_Change
climate_emergency,Climate_Change
food_security,Climate_Change
methane_emission,Climate_Change
total_ghg,Climate_Change
flaring,Climate_Change
energy_consume,Climate_Change
fossil_fuel_consumption,Climate_Change
nox_emission,Climate_Change
other_pollutant,Climate_Change
fossil_fuel_use,Climate_Change
climate_policy,Climate_Change
scope_[NER:PRODUCT],Climate_Change
consumption_of_fossil_fuel,Climate_Change
into_the_atmosphere,Climate_Change
ecosystem,Ecosystem
conservation,Ecosystem
deforestation,Ecosystem
endangered_species,Ecosystem
biodiversity,Ecosystem
eco_system,Ecosystem
walrus,Ecosystem
its_ecosystem,Ecosystem
platform,Ecosystem
software_ecosystem,Ecosystem
app_ecosystem,Ecosystem
entire_ecosystem,Ecosystem
digital_ecosystem,Ecosystem
mobile_ecosystem,Ecosystem
[NER:NORP]_ecosystem,Ecosystem
broad_ecosystem,Ecosystem
open_ecosystem,Ecosystem
suite_of_service,Ecosystem
network,Ecosystem
create_an_ecosystem,Ecosystem
ecosystem_of_app,Ecosystem
ios_ecosystem,Ecosystem
’s_ecosystem,Ecosystem
commerce_ecosystem,Ecosystem
network_effect,Ecosystem
suite_of_product,Ecosystem
marketplace,Ecosystem
software_suite,Ecosystem
ecosystem_around,Ecosystem
social_community,Ecosystem
developer_ecosystem,Ecosystem
whole_ecosystem,Ecosystem
financial_ecosystem,Ecosystem
robust_ecosystem,Ecosystem
wildlife,Ecosystem
integrated_ecosystem,Ecosystem
payment_ecosystem,Ecosystem
developer_community,Ecosystem
technology_stack,Ecosystem
gaming_ecosystem,Ecosystem
integrate_ecosystem,Ecosystem
integrated_platform,Ecosystem
cloud_ecosystem,Ecosystem
software_offering,Ecosystem
ecosystem_of_partner,Ecosystem
open_platform,Ecosystem
app,Ecosystem
tech_stack,Ecosystem
strong_ecosystem,Ecosystem
exist_ecosystem,Ecosystem
cdp,Environmental_Governance
sustainability_reporting,Environmental_Governance
environmental_compliance,Environmental_Governance
environmental_disclosure,Environmental_Governance
compliance_with_environmental,Environmental_Governance
environmental_protection,Environmental_Governance
environmental,Environmental_Governance
operation_and_maintenance,Environmental_Governance
maintenance,Environmental_Governance
coal_ash,Environmental_Governance
ballast_water_treatment,Environmental_Governance
environmental_regulation,Environmental_Governance
comply_with_environmental,Environmental_Governance
safety_regulation,Environmental_Governance
pipe_replacement,Environmental_Governance
recovery_mechanism,Environmental_Governance
infrastructure_improvement,Environmental_Governance
environmental_upgrade,Environmental_Governance
retrofitting,Environmental_Governance
environmental_health,Environmental_Governance
upkeep,Environmental_Governance
ballast_water,Environmental_Governance
environmental_cleanup,Environmental_Governance
regulatory_compliance,Environmental_Governance
crewing,Environmental_Governance
modernization,Environmental_Governance
transmission_and_distribution_infrastructure,Environmental_Governance
maintenance_and_replacement,Environmental_Governance
ecological,Environmental_Governance
energy_conservation,Environmental_Governance
waste_disposal,Environmental_Governance
regular_maintenance,Environmental_Governance
environmental_remediation,Environmental_Governance
grid_upgrade,Environmental_Governance
infrastructural,Environmental_Governance
transportation_infrastructure,Environmental_Governance
comply_with_new,Environmental_Governance
worker_safety,Environmental_Governance
environmental_control,Environmental_Governance
infrastructure_upgrade,Environmental_Governance
decommissioning,Environmental_Governance
construction_and_maintenance,Environmental_Governance
repair_and_maintenance,Environmental_Governance
safety_and_environmental,Environmental_Governance
sanitation,Environmental_Governance
remediation,Environmental_Governance
carbon_credit,Green_Finance
green_bond,Green_Finance
climate_finance,Green_Finance
esg_investing,Green_Finance
renewable_energy_credit,Green_Finance
senior_secure_note,Green_Finance
green_convertible,Green_Finance
unsecured_senior_note,Green_Finance
senior_unsecured_note,Green_Finance
bond_offering,Green_Finance
senior_secured_note,Green_Finance
sustainability_link,Green_Finance
senior_note_worth,Green_Finance
senior_unsecured,Green_Finance
carbon_offset,Green_Finance
senior_secure_convertible_note,Green_Finance
senior_convertible_note,Green_Finance
rin,Green_Finance
secured_note,Green_Finance
convertible_senior_note,Green_Finance
convertible_bond_issue,Green_Finance
methanol,Green_Finance
exchangeable_senior_note,Green_Finance
transportation_fuel,Green_Finance
eurobond,Green_Finance
emission_credit,Green_Finance
